,index,Scotland,East Anglian Region,London Region,South Region,North Western Region,West Midlands Region,South West Region,East Midlands Region,South East Region,Wales,Yorkshire Region,North Region,Ireland,id_student,code_module,module_domain,module_presentation_length,term,year,num_of_prev_attempts,final_result,date_registration,disability,gender,age_band,highest_education,imd_band,studied_credits,b4_sum_clicks,half_sum_clicks,std_half_score
21,24,0,0,0,0,0,0,0,0,1,0,0,0,0,26247,5,1,268,0,0,2,0,-47.0,0,0,1,3,8.0,60,111.0,367.0,14.6666666666667
22,25,0,0,0,0,0,0,0,0,0,0,1,0,0,26269,5,1,241,1,1,0,0,-73.0,0,0,1,1,0.0,60,0.0,0.0,0.0
23,26,0,1,0,0,0,0,0,0,0,0,0,0,0,26315,1,0,262,0,1,1,1,-92.0,0,1,1,1,6.0,60,137.0,993.0,68.0
24,27,0,0,0,0,0,1,0,0,0,0,0,0,0,26677,1,0,268,0,0,4,0,-60.0,0,0,0,2,0.0,60,0.0,0.0,0.0
25,28,0,0,0,0,0,0,1,0,0,0,0,0,0,26734,1,0,262,0,1,0,0,-101.0,1,0,0,2,2.0,90,7.0,201.0,61.6666666666667
26,29,0,0,0,0,0,0,0,0,0,1,0,0,0,26915,4,1,268,0,0,0,0,-61.0,0,0,1,1,0.0,30,0.0,0.0,0.0
27,30,0,0,0,0,0,0,0,0,0,0,1,0,0,27116,2,1,269,0,1,0,1,-156.0,0,0,0,3,7.0,120,28.0,1001.0,94.45
28,31,0,0,0,1,0,0,0,0,0,0,0,0,0,27189,5,1,241,1,1,0,0,-65.0,0,1,1,1,1.0,120,0.0,946.0,33.0
29,32,0,0,0,0,0,0,1,0,0,0,0,0,0,27417,3,1,261,0,0,0,0,-74.0,0,0,0,1,6.0,60,8.0,347.0,35.25
30,33,0,0,0,0,0,0,1,0,0,0,0,0,0,27417,3,1,262,0,1,1,0,-131.0,0,0,0,1,6.0,60,6.0,61.0,56.1
31,34,0,0,0,0,0,0,0,0,1,0,0,0,0,27457,1,0,268,0,0,0,0,-36.0,0,1,1,1,4.0,60,0.0,0.0,0.0
32,35,0,0,1,0,0,0,0,0,0,0,0,0,0,27683,5,1,241,1,1,0,1,-24.0,0,0,0,3,3.0,60,2.0,696.0,67.0
33,36,0,0,0,0,1,0,0,0,0,0,0,0,0,27759,1,0,268,0,0,0,0,-43.0,1,0,1,1,4.0,120,0.0,239.0,59.9516129032258
34,37,0,0,0,0,0,0,0,0,0,1,0,0,0,27780,4,1,241,1,1,0,1,-23.0,0,0,0,2,1.0,150,15.0,339.0,59.1666666666667
35,38,1,0,0,0,0,0,0,0,0,0,0,0,0,27891,1,0,240,1,0,2,0,-58.0,1,0,0,1,0.0,120,16.0,272.0,63.2790697674419
36,39,1,0,0,0,0,0,0,0,0,0,0,0,0,27891,1,0,234,1,1,4,0,-191.0,1,0,0,1,0.0,120,0.0,0.0,0.0
37,40,0,1,0,0,0,0,0,0,0,0,0,0,0,27935,3,1,261,0,0,0,0,-134.0,1,1,0,1,3.0,60,64.0,728.0,74.9583333333333
38,41,0,0,0,0,0,0,0,0,0,0,1,0,0,28046,3,1,261,0,0,0,0,-190.0,0,1,1,3,1.0,70,24.0,305.0,52.1666666666667
39,42,0,0,0,0,0,0,0,0,0,0,1,0,0,28061,0,0,269,0,1,0,1,-130.0,0,0,1,1,4.0,60,349.0,850.0,76.4
40,43,0,1,0,0,0,0,0,0,0,0,0,0,0,28149,3,1,241,1,1,0,0,-46.0,0,0,1,2,6.0,60,0.0,0.0,0.0
41,44,1,0,0,0,0,0,0,0,0,0,0,0,0,28400,0,0,268,0,0,0,1,-53.0,0,1,1,3,2.0,60,215.0,771.0,69.2
42,45,0,0,0,0,0,1,0,0,0,0,0,0,0,28418,2,1,241,1,1,0,0,-37.0,0,1,0,2,2.0,30,1.0,226.0,7.275
43,46,1,0,0,0,0,0,0,0,0,0,0,0,0,28770,4,1,269,0,1,0,0,-31.0,0,0,0,1,2.0,30,0.0,0.0,0.0
44,47,0,0,0,0,0,0,0,0,1,0,0,0,0,28787,2,1,269,0,1,0,1,-29.0,0,0,1,1,8.0,60,38.0,248.0,14.95
45,48,0,0,0,1,0,0,0,0,0,0,0,0,0,28808,5,1,241,1,1,0,0,-120.0,0,1,0,2,9.0,60,27.0,205.0,35.0
46,49,0,0,0,0,0,0,1,0,0,0,0,0,0,28897,5,1,241,1,1,0,1,-136.0,0,0,0,2,1.0,120,136.0,1773.0,86.0
47,50,0,0,0,0,0,0,0,0,0,0,1,0,0,28952,2,1,269,0,1,0,0,-50.0,0,1,0,1,6.0,60,28.0,77.0,15.05
48,51,0,0,0,1,0,0,0,0,0,0,0,0,0,29144,1,0,240,1,0,0,0,-24.0,0,0,0,1,6.0,120,12.0,1195.0,63.953488372093
49,52,0,0,0,0,0,1,0,0,0,0,0,0,0,29335,5,1,268,0,0,0,1,-31.0,0,0,0,1,4.0,60,146.0,4595.0,94.3333333333333
50,53,0,0,0,0,0,0,0,1,0,0,0,0,0,29411,2,1,269,0,1,0,0,-135.0,0,0,0,2,8.0,150,63.0,266.0,3.15
51,54,0,0,0,0,0,0,0,1,0,0,0,0,0,29411,3,1,261,0,0,0,1,-96.0,0,0,0,2,8.0,60,61.0,265.0,75.4166666666667
52,55,0,0,0,0,0,0,0,0,0,1,0,0,0,29420,2,1,269,0,1,0,1,-14.0,0,0,0,2,7.0,30,19.0,382.0,70.075
53,58,0,1,0,0,0,0,0,0,0,0,0,0,0,29764,2,1,241,1,1,0,1,-34.0,0,0,0,2,5.0,90,32.0,1463.0,94.125
54,59,0,0,0,0,0,0,0,1,0,0,0,0,0,29769,5,1,268,0,0,1,0,-32.0,0,0,0,2,4.0,60,179.0,1306.0,66.3333333333333
55,60,0,1,0,0,0,0,0,0,0,0,0,0,0,29820,2,1,241,1,1,0,1,-57.0,0,0,0,3,4.0,60,47.0,587.0,86.65
56,61,0,1,0,0,0,0,0,0,0,0,0,0,0,29820,4,1,241,1,1,0,1,-57.0,0,0,0,3,4.0,60,72.0,626.0,78.0
57,63,0,0,0,0,0,0,1,0,0,0,0,0,0,30091,1,0,268,0,0,0,1,-145.0,1,1,0,2,1.0,60,66.0,944.0,53.9677419354839
58,64,0,1,0,0,0,0,0,0,0,0,0,0,0,30096,2,1,269,0,1,0,1,-22.0,0,0,0,3,9.0,60,139.0,423.0,93.9
59,65,0,0,0,0,1,0,0,0,0,0,0,0,0,30268,0,0,268,0,0,0,0,-92.0,1,1,1,2,3.0,60,0.0,0.0,0.0
60,66,1,0,0,0,0,0,0,0,0,0,0,0,0,74290,2,1,269,0,1,1,0,-124.0,0,0,0,1,1.0,30,0.0,0.0,0.0
61,67,0,1,0,0,0,0,0,0,0,0,0,0,0,30531,5,1,241,1,1,1,0,-137.0,0,0,0,1,5.0,180,86.0,1401.0,43.5
62,68,0,0,0,0,0,0,0,0,1,0,0,0,0,30549,3,1,261,0,0,2,0,-102.0,0,0,1,2,0.0,60,17.0,112.0,5.83333333333333
63,69,1,0,0,0,0,0,0,0,0,0,0,0,0,30850,2,1,269,0,1,0,1,-56.0,0,1,1,3,6.0,120,22.0,1377.0,99.45
64,70,0,0,0,0,0,1,0,0,0,0,0,0,0,31014,1,0,268,0,0,0,0,-43.0,0,1,1,1,8.0,120,100.0,431.0,57.9838709677419
65,72,0,0,0,1,0,0,0,0,0,0,0,0,0,31161,2,1,269,0,1,0,1,-43.0,0,0,2,4,9.0,105,263.0,1867.0,96.55
66,73,0,0,0,0,1,0,0,0,0,0,0,0,0,31173,3,1,261,0,0,1,0,-44.0,0,0,1,2,4.0,60,0.0,408.0,50.5416666666667
67,75,0,0,0,0,0,0,0,1,0,0,0,0,0,31269,3,1,261,0,0,0,0,-53.0,0,1,1,2,3.0,120,0.0,0.0,0.0
68,76,0,0,0,0,0,0,0,1,0,0,0,0,0,31269,3,1,241,1,1,1,0,-90.0,0,1,1,2,3.0,120,31.0,528.0,21.4583333333333
69,77,0,0,0,0,0,0,0,1,0,0,0,0,0,31296,5,1,269,0,1,1,0,-20.0,0,0,0,1,3.0,60,7.0,300.0,48.5
70,78,0,0,0,0,0,0,1,0,0,0,0,0,0,31600,0,0,269,0,1,0,1,-52.0,0,1,0,2,4.0,60,90.0,196.0,53.0
71,79,0,0,0,0,0,0,0,0,1,0,0,0,0,31604,0,0,268,0,0,0,1,-52.0,0,1,1,2,5.0,60,169.0,1213.0,72.4
72,80,0,0,0,0,0,0,0,0,0,0,0,1,0,31663,1,0,240,1,0,0,1,-60.0,0,0,1,2,3.0,60,292.0,3403.0,83.4883720930233
73,81,0,0,0,0,0,0,1,0,0,0,0,0,0,31849,1,0,268,0,0,0,1,-128.0,0,1,1,1,6.0,120,0.0,728.0,67.6612903225806
74,82,0,0,0,1,0,0,0,0,0,0,0,0,0,32221,5,1,268,0,0,0,0,-32.0,0,0,0,2,6.0,60,55.0,1078.0,89.3333333333333
75,84,0,0,0,0,0,0,1,0,0,0,0,0,0,32327,1,0,262,0,1,2,0,-92.0,0,1,0,1,2.0,60,272.0,427.0,20.3333333333333
76,85,0,0,0,0,1,0,0,0,0,0,0,0,0,32553,4,1,268,0,0,0,0,-80.0,0,0,0,2,6.0,60,0.0,0.0,0.0
77,86,0,0,0,0,0,1,0,0,0,0,0,0,0,32885,0,0,268,0,0,0,1,-176.0,0,1,0,1,5.0,60,295.0,504.0,51.0
78,87,0,0,0,1,0,0,0,0,0,0,0,0,0,32930,1,0,262,0,1,0,1,-35.0,0,1,1,2,4.0,60,0.0,203.0,58.3333333333333
79,88,1,0,0,0,0,0,0,0,0,0,0,0,0,33387,3,1,261,0,0,1,0,-43.0,0,0,0,3,1.0,120,1.0,240.0,38.9166666666667
80,89,1,0,0,0,0,0,0,0,0,0,0,0,0,33387,3,1,262,0,1,2,0,-129.0,0,0,0,3,1.0,90,0.0,0.0,0.0
81,90,0,0,1,0,0,0,0,0,0,0,0,0,0,33600,5,1,268,0,0,0,0,-43.0,0,1,1,2,4.0,150,148.0,333.0,14.0
82,91,0,0,1,0,0,0,0,0,0,0,0,0,0,33600,5,1,241,1,1,1,0,-85.0,0,1,1,2,4.0,150,0.0,0.0,0.0
83,92,0,0,1,0,0,0,0,0,0,0,0,0,0,33666,1,0,240,1,0,1,0,-23.0,0,1,0,2,1.0,60,0.0,1180.0,41.7209302325581
84,93,0,0,0,0,0,0,0,0,1,0,0,0,0,33681,3,1,261,0,0,2,0,-151.0,1,0,1,2,5.0,60,93.0,341.0,49.25
85,94,0,0,0,0,0,0,0,0,1,0,0,0,0,33681,3,1,262,0,1,3,0,-29.0,1,0,1,2,5.0,60,0.0,0.0,0.0
86,95,0,1,0,0,0,0,0,0,0,0,0,0,0,33796,3,1,262,0,1,2,1,-51.0,0,0,1,1,8.0,60,0.0,249.0,75.6
87,96,0,0,0,0,0,1,0,0,0,0,0,0,0,33897,3,1,261,0,0,0,0,-58.0,0,0,0,1,3.0,60,0.0,322.0,8.33333333333333
88,97,0,0,0,0,0,1,0,0,0,0,0,0,0,33897,3,1,262,0,1,1,0,-18.0,0,0,0,1,3.0,60,0.0,0.0,0.0
89,98,0,0,0,0,0,0,0,0,1,0,0,0,0,33915,5,1,240,1,0,0,1,-64.0,0,1,0,2,3.0,60,144.0,2145.0,91.5
90,99,0,0,0,0,0,0,1,0,0,0,0,0,0,33930,3,1,261,0,0,0,1,-143.0,0,1,0,2,2.0,90,64.0,213.0,84.625
91,100,1,0,0,0,0,0,0,0,0,0,0,0,0,34068,2,1,269,0,1,0,0,-74.0,0,0,0,1,5.0,30,30.0,583.0,33.05
92,101,0,0,0,0,0,0,0,0,1,0,0,0,0,34087,3,1,261,0,0,0,0,-75.0,1,0,1,2,6.0,60,21.0,272.0,56.1666666666667
93,102,0,0,0,0,0,0,0,0,1,0,0,0,0,34087,3,1,262,0,1,1,0,-107.0,1,0,1,2,6.0,60,0.0,0.0,0.0
94,103,0,0,0,0,0,0,0,0,0,0,0,0,1,34229,1,0,240,1,0,2,1,-58.0,0,1,1,2,0.0,120,21.0,518.0,78.0232558139535
95,104,0,0,0,0,0,1,0,0,0,0,0,0,0,34293,5,1,241,1,1,0,0,-68.0,1,0,0,1,6.0,60,75.0,846.0,37.0
96,105,1,0,0,0,0,0,0,0,0,0,0,0,0,34353,1,0,240,1,0,0,0,-16.0,1,0,1,2,7.0,120,0.0,298.0,46.2558139534884
97,106,0,0,0,0,0,0,0,0,0,0,1,0,0,34431,1,0,240,1,0,0,0,-24.0,0,1,0,1,7.0,60,0.0,192.0,1.86046511627907
98,107,0,0,0,0,0,0,0,0,0,0,1,0,0,34431,1,0,262,0,1,1,0,-36.0,0,1,0,1,7.0,60,0.0,0.0,0.0
99,108,0,0,0,0,0,0,0,1,0,0,0,0,0,34653,3,1,261,0,0,0,0,-149.0,0,0,0,1,3.0,60,69.0,139.0,40.1666666666667
100,109,0,0,0,0,0,0,1,0,0,0,0,0,0,34662,1,0,262,0,1,0,0,-137.0,0,1,1,2,6.0,60,4.0,214.0,22.6666666666667
101,110,0,0,0,0,0,1,0,0,0,0,0,0,0,34694,1,0,240,1,0,1,0,-55.0,0,0,1,2,1.0,60,0.0,0.0,0.0
102,111,0,1,0,0,0,0,0,0,0,0,0,0,0,34731,5,1,268,0,0,0,0,-38.0,0,0,0,2,2.0,60,12.0,669.0,24.6666666666667
103,112,0,0,0,0,0,0,0,1,0,0,0,0,0,34756,1,0,240,1,0,1,0,-43.0,0,1,0,1,1.0,150,0.0,129.0,31.4651162790698
104,113,0,0,1,0,0,0,0,0,0,0,0,0,0,34863,1,0,240,1,0,0,1,-65.0,0,1,0,2,5.0,60,0.0,137.0,53.0697674418605
105,115,0,0,0,1,0,0,0,0,0,0,0,0,0,35340,4,1,241,1,1,0,1,-51.0,0,0,0,2,5.0,60,63.0,988.0,86.7777777777778
106,116,0,0,0,0,0,0,0,0,0,1,0,0,0,35355,2,1,269,0,1,0,0,-25.0,0,0,1,1,0.0,30,14.0,1018.0,68.225
107,117,0,0,0,0,0,0,0,0,0,1,0,0,0,35355,4,1,268,0,0,0,1,-30.0,0,0,1,1,0.0,30,54.0,1171.0,83.2777777777778
108,118,0,0,0,0,0,1,0,0,0,0,0,0,0,35502,3,1,241,1,1,0,0,-73.0,0,0,0,3,3.0,60,127.0,418.0,11.0
109,119,0,0,0,0,0,0,1,0,0,0,0,0,0,35508,2,1,269,0,1,0,1,-44.0,0,0,0,2,9.0,30,78.0,459.0,17.75
110,120,0,0,0,0,0,0,1,0,0,0,0,0,0,35508,4,1,241,1,1,0,1,-50.0,0,0,0,2,9.0,30,136.0,1233.0,94.7222222222222
111,121,0,0,0,0,0,0,0,0,0,1,0,0,0,35544,5,1,240,1,0,0,1,-22.0,0,0,1,2,8.0,60,24.0,1133.0,81.5
112,122,0,0,0,0,1,0,0,0,0,0,0,0,0,35747,5,1,269,0,1,0,0,-15.0,0,0,1,2,0.0,120,50.0,603.0,13.5
113,123,0,0,0,0,0,0,0,0,0,1,0,0,0,35796,5,1,269,0,1,0,0,-66.0,0,0,0,2,2.0,60,253.0,349.0,20.5
114,124,0,1,0,0,0,0,0,0,0,0,0,0,0,35812,1,0,240,1,0,0,0,-53.0,0,1,0,1,3.0,60,0.0,19.0,8.25581395348837
115,125,0,0,0,0,1,0,0,0,0,0,0,0,0,35859,3,1,261,0,0,0,0,-151.0,0,0,0,2,9.0,60,0.0,0.0,0.0
116,126,0,0,0,0,0,0,1,0,0,0,0,0,0,35860,5,1,240,1,0,0,1,-60.0,0,0,0,2,1.0,60,80.0,965.0,78.5
117,127,0,0,0,0,1,0,0,0,0,0,0,0,0,36347,5,1,241,1,1,0,1,-25.0,0,0,0,1,1.0,120,51.0,1088.0,71.5
118,128,0,0,0,0,0,1,0,0,0,0,0,0,0,36385,3,1,262,0,1,1,0,-123.0,1,0,0,1,7.0,120,0.0,0.0,0.0
119,129,0,0,0,0,0,1,0,0,0,0,0,0,0,36385,5,1,240,1,0,0,0,-73.0,1,0,0,1,7.0,120,267.0,1088.0,37.5
120,130,0,0,0,1,0,0,0,0,0,0,0,0,0,36842,5,1,240,1,0,0,0,-24.0,0,0,0,1,4.0,90,0.0,0.0,0.0
121,132,1,0,0,0,0,0,0,0,0,0,0,0,0,37622,1,0,268,0,0,1,1,-46.0,0,1,0,3,8.0,120,25.0,280.0,50.9677419354839
122,133,0,0,1,0,0,0,0,0,0,0,0,0,0,37652,2,1,269,0,1,0,1,-11.0,0,1,1,3,2.0,50,31.0,519.0,22.5
123,134,0,0,0,0,0,0,0,0,0,1,0,0,0,38053,0,0,268,0,0,0,1,-110.0,0,0,1,2,8.0,60,277.0,1035.0,73.0
124,136,0,0,0,0,0,0,0,1,0,0,0,0,0,38234,1,0,268,0,0,0,0,-117.0,0,1,0,2,6.0,60,7.0,52.0,51.7741935483871
125,137,0,0,0,0,0,1,0,0,0,0,0,0,0,38711,1,0,262,0,1,0,0,-43.0,1,0,1,1,0.0,60,0.0,164.0,52.6666666666667
126,138,0,0,0,0,0,0,0,1,0,0,0,0,0,38941,1,0,234,1,1,0,0,-24.0,0,1,0,2,1.0,60,0.0,0.0,0.0
127,139,0,0,0,0,0,0,0,0,0,1,0,0,0,39208,1,0,262,0,1,0,1,-72.0,0,1,1,2,9.0,120,126.0,1167.0,70.6666666666667
128,140,0,0,0,0,0,0,0,0,0,1,0,0,0,39208,3,1,262,0,1,0,0,-161.0,0,1,1,2,9.0,120,0.0,0.0,0.0
129,141,0,0,0,0,0,1,0,0,0,0,0,0,0,39411,3,1,261,0,0,0,0,-36.0,0,1,0,1,0.0,60,17.0,147.0,11.6666666666667
130,142,0,0,0,1,0,0,0,0,0,0,0,0,0,39427,3,1,261,0,0,0,0,-37.0,0,1,0,2,9.0,60,10.0,83.0,14.0
131,143,1,0,0,0,0,0,0,0,0,0,0,0,0,39655,1,0,240,1,0,0,1,-22.0,0,1,0,1,5.0,120,8.0,300.0,73.4883720930233
132,144,0,0,0,0,1,0,0,0,0,0,0,0,0,39660,3,1,241,1,1,0,0,-40.0,0,1,0,1,0.0,120,135.0,461.0,54.3333333333333
133,145,1,0,0,0,0,0,0,0,0,0,0,0,0,39882,5,1,268,0,0,0,0,-32.0,0,1,0,2,8.0,120,0.0,0.0,0.0
134,146,1,0,0,0,0,0,0,0,0,0,0,0,0,39882,5,1,241,1,1,1,1,-26.0,0,1,0,2,8.0,120,49.0,842.0,77.0
135,147,0,0,0,0,0,0,0,0,0,1,0,0,0,40184,3,1,261,0,0,0,1,-106.0,0,0,2,3,3.0,60,121.0,951.0,94.0
136,148,0,0,0,0,0,0,0,0,0,0,0,1,0,40333,2,1,241,1,1,0,0,-30.0,0,0,1,3,0.0,30,0.0,0.0,0.0
137,149,0,0,0,0,0,0,0,1,0,0,0,0,0,40419,3,1,240,1,0,0,0,-46.0,0,0,1,1,2.0,60,5.0,134.0,12.3508771929825
138,150,0,0,0,0,0,0,0,1,0,0,0,0,0,40419,3,1,261,0,0,1,1,-57.0,0,0,1,1,2.0,60,9.0,319.0,76.2083333333333
139,151,0,0,0,0,0,1,0,0,0,0,0,0,0,40508,4,1,268,0,0,0,0,-101.0,0,0,1,2,4.0,90,0.0,0.0,0.0
140,152,0,0,0,0,0,0,0,0,1,0,0,0,0,40563,3,1,261,0,0,0,1,-43.0,0,1,0,2,0.0,60,79.0,360.0,81.4583333333333
141,154,0,0,0,0,1,0,0,0,0,0,0,0,0,40857,5,1,269,0,1,0,0,-89.0,1,1,0,2,3.0,120,32.0,272.0,21.5
142,155,0,0,0,0,1,0,0,0,0,0,0,0,0,40878,5,1,269,0,1,0,1,-86.0,0,0,0,1,0.0,120,108.0,1577.0,131.0
143,156,0,0,0,0,0,0,0,0,0,0,0,0,1,41060,3,1,240,1,0,0,0,-24.0,0,0,0,3,7.0,60,23.0,318.0,87.5175438596491
144,158,0,1,0,0,0,0,0,0,0,0,0,0,0,41489,5,1,241,1,1,0,0,-75.0,0,1,0,1,2.0,60,0.0,0.0,0.0
145,159,0,0,0,0,0,0,0,0,0,0,1,0,0,41547,1,0,262,0,1,0,1,-87.0,0,1,0,2,4.0,60,13.0,582.0,68.6666666666667
146,160,0,1,0,0,0,0,0,0,0,0,0,0,0,42552,5,1,269,0,1,0,1,-150.0,0,1,0,2,8.0,90,273.0,2816.0,113.0
147,161,1,0,0,0,0,0,0,0,0,0,0,0,0,42616,5,1,268,0,0,0,1,-33.0,0,1,1,1,8.0,60,122.0,2008.0,71.0
148,162,1,0,0,0,0,0,0,0,0,0,0,0,0,42638,2,1,241,1,1,0,1,-52.0,0,0,1,3,9.0,60,78.0,2261.0,81.075
149,163,1,0,0,0,0,0,0,0,0,0,0,0,0,42638,4,1,268,0,0,0,1,-39.0,0,0,1,3,9.0,60,376.0,3559.0,82.6111111111111
150,164,0,0,1,0,0,0,0,0,0,0,0,0,0,42668,5,1,240,1,0,1,1,-122.0,0,0,1,1,1.0,120,79.0,1134.0,83.0
151,165,0,0,0,1,0,0,0,0,0,0,0,0,0,42746,2,1,269,0,1,0,1,-108.0,0,1,1,3,5.0,60,48.0,1448.0,95.75
152,166,0,0,0,1,0,0,0,0,0,0,0,0,0,42746,5,1,241,1,1,0,1,-135.0,0,1,1,3,5.0,60,322.0,4210.0,94.5
153,167,0,1,0,0,0,0,0,0,0,0,0,0,0,42818,3,1,261,0,0,0,0,-124.0,1,1,0,1,4.0,180,41.0,159.0,6.5
154,169,0,0,0,0,0,0,0,1,0,0,0,0,0,43273,5,1,240,1,0,0,1,-108.0,0,0,1,3,6.0,90,1.0,427.0,76.5
155,170,0,0,0,0,0,0,0,1,0,0,0,0,0,43284,3,1,240,1,0,2,0,-28.0,0,0,0,1,8.0,180,166.0,538.0,55.4736842105263
156,171,0,0,0,0,0,0,1,0,0,0,0,0,0,43430,5,1,240,1,0,0,1,-53.0,0,0,1,2,5.0,60,433.0,2207.0,95.5
157,172,1,0,0,0,0,0,0,0,0,0,0,0,0,43564,4,1,268,0,0,0,1,-18.0,0,0,1,3,8.0,60,87.0,1357.0,95.5555555555556
158,173,0,0,0,0,0,0,0,0,0,1,0,0,0,43958,5,1,268,0,0,0,0,-167.0,0,0,1,2,9.0,60,186.0,2034.0,30.6666666666667
159,174,0,0,0,0,0,0,0,0,0,1,0,0,0,43958,5,1,269,0,1,1,0,-115.0,0,0,1,2,9.0,60,12.0,1086.0,43.0
160,175,0,0,0,0,0,0,1,0,0,0,0,0,0,45423,5,1,269,0,1,0,0,-31.0,0,0,1,1,7.0,60,50.0,2459.0,57.0
161,176,1,0,0,0,0,0,0,0,0,0,0,0,0,45462,0,0,268,0,0,0,1,-67.0,0,0,0,3,3.0,60,180.0,732.0,64.8
162,177,0,0,0,0,1,0,0,0,0,0,0,0,0,45642,0,0,268,0,0,0,1,-29.0,0,1,0,2,9.0,120,21.0,858.0,72.0
163,178,0,0,0,0,0,0,0,0,0,0,1,0,0,45664,2,1,241,1,1,0,0,-173.0,0,0,0,3,6.0,60,6.0,351.0,19.225
164,179,0,0,0,0,0,0,0,0,0,0,1,0,0,45664,3,1,240,1,0,1,1,-31.0,0,0,0,3,6.0,60,79.0,740.0,54.4035087719298
165,180,0,0,0,0,1,0,0,0,0,0,0,0,0,46016,3,1,262,0,1,0,0,-129.0,0,0,0,1,4.0,60,104.0,284.0,32.5
166,181,0,1,0,0,0,0,0,0,0,0,0,0,0,46048,4,1,269,0,1,0,0,-28.0,0,0,1,2,8.0,30,0.0,0.0,0.0
167,182,0,0,0,0,1,0,0,0,0,0,0,0,0,46148,5,1,241,1,1,0,1,-23.0,0,0,1,2,1.0,60,0.0,1597.0,85.0
168,183,0,1,0,0,0,0,0,0,0,0,0,0,0,46605,2,1,241,1,1,0,1,-54.0,0,0,1,3,6.0,60,105.0,2114.0,96.35
169,184,0,0,1,0,0,0,0,0,0,0,0,0,0,46633,3,1,261,0,0,0,0,-162.0,0,1,0,2,0.0,60,0.0,0.0,0.0
170,186,0,1,0,0,0,0,0,0,0,0,0,0,0,46753,3,1,241,1,1,0,1,-93.0,0,1,1,2,6.0,60,380.0,945.0,71.7916666666667
